981020,901100
981021,901110
981140,910000
900050,910100
900051,910110
900051,910120
981138,910140
981141,910150
981142,910160
981143,910170
981144,910180
981139,910190
960032,911100
981044,912120
981045,912130
981046,912140
981047,912150
981048,912160
981049,912170
990002,913100
990901,913110
990902,913120
960911,920100
981227,920110
960000,920120
960912,920130
960914,920140
960915,920150
960016,920160
960011,920170
960012,920180
958230,920190
958231,920200
958295,920210
950107,920220
950109,920230
950108,920240
950801,920250
950116,920260
960901,920270
960008,920280
960007,920290
960015,920300
960021,920310
960009,920320
960006,920330
960904,920340
960017,920350
960209,920360
960208,920370
960335,920380
960341,920390
960342,920400
960343,920410
960010,920420
960034,920430
960035,920440
960038,920450
950012,921100
950915,921110
950910,921120
950911,921130
950912,921140
950913,921150
950914,921160
950916,921170
950103,930100
950104,930110
950005,930120
950117,931100
950118,931110
950119,931120
950120,931130
950907,932100
958978,933000
959151,933100
958977,933110
958979,933120
958980,933130
973344,941000
973343,941100
973336,941110
973337,941120
973339,941130
973338,941140
973350,941150
973340,941160
973341,941170
973342,941180
973315,941190
973326,941200
973346,941210
973345,941220
973324,941230
973323,941240
973322,941250
973348,941260
973321,941270
973320,941280
973318,941290
973317,941300
973319,941310
973300,941320
973332,941330
973333,941340
981261,942100
981318,942110
981319,942120
950901,942130
981320,942140
950001,942150
981272,942160
981250,942170
981244,942180
981255,942190
981257,942200
981248,942210
981277,942220
981241,942230
981252,942240
981256,942250
981245,942260
981276,942270
981254,942280
981270,942290
981240,942300
981249,942310
981253,942320
981242,942330
981246,942340
981251,942350
981247,942360
981243,942370
959070,942380
959071,942390
959072,942400
959073,942410
981172,942420
981173,942430
981231,942440
981260,942450
960024,942460
950009,943100
950003,943110
950000,943120
981175,949100
981179,949110
981180,949120
981181,949130
981182,949140
981183,949150
981184,949160
981186,949170
981187,949180
981176,949190
970901,950100
970013,950130
970017,954100
970118,954110
970004,954120
970904,954130
970014,952100
970017,952110
970009,953100
970015,953110
970902,953120
970003,951100
9700010,951110
9700011,951120
9700012,951130
9700013,951140
9700014,951150
9700015,951160
9700016,951170
9700017,951180
9700018,951190
9700019,951200
9700020,951210
9700021,951220
9700022,951230
9700023,951240
9700024,951250
9700025,951260
981200,959100
981201,980100
981202,980110
981203,980120
981204,980130
981205,980140
